issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2024-07-20T08:00:00.000000-0400,2024-08-04T01:37:19.612000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,J34SEU,0,0.0,NJ,4908763598,PHTO SCHOOL ZN SPEED VIOLATION,,08:49P
2023-02-03T10:00:00.000000-0500,2023-02-15T19:08:50.650000-0500,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KZL8770,0,0.0,NY,4825585670,PHTO SCHOOL ZN SPEED VIOLATION,,08:04P
2024-01-13T10:00:00.000000-0500,2024-01-21T02:39:09.881000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LCZ8148,0,0.0,NY,4881679170,PHTO SCHOOL ZN SPEED VIOLATION,,11:16P
2024-09-08T08:00:00.000000-0400,2024-09-23T15:44:46.479000-0400,0.0,BK,50.0,1.9,DEPARTMENT OF TRANSPORTATION,2024-12-05T05:00:00.000000-0500,PAS,76.26,25.0,DPD3915,0,0.64,NY,4916773330,PHTO SCHOOL ZN SPEED VIOLATION,,01:15P
2024-07-10T08:00:00.000000-0400,2024-07-22T19:30:42.522000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LHX3212,0,0.0,NY,4906767163,PHTO SCHOOL ZN SPEED VIOLATION,,06:24A
2025-01-20T10:00:00.000000-0500,2025-01-26T03:18:03.981000-0500,0.0,QN,50.0,0.24,DEPARTMENT OF TRANSPORTATION,2025-04-10T04:00:00.000000-0400,PAS,75.0,25.0,KEK1745,0,0.24,NY,4934318410,PHTO SCHOOL ZN SPEED VIOLATION,,03:47P
2023-07-30T08:00:00.000000-0400,2023-08-14T20:33:24.346000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,KVX1589,0,0.0,NY,4855322040,PHTO SCHOOL ZN SPEED VIOLATION,,03:19A
2025-01-02T10:00:00.000000-0500,2025-01-12T02:37:33.092000-0500,0.0,BX,50.0,0.04,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,JCZ1588,0,0.04,NY,4932371147,PHTO SCHOOL ZN SPEED VIOLATION,,02:58P
2024-04-16T08:00:00.000000-0400,2024-04-21T01:34:07.261000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,JMR6399,0,0.0,NY,4893173856,PHTO SCHOOL ZN SPEED VIOLATION,,07:37P
2024-03-04T10:00:00.000000-0500,2024-03-12T15:55:29.443000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LDD9239,0,0.0,NY,4887581488,PHTO SCHOOL ZN SPEED VIOLATION,,03:55P
